date,open,high,low,close,volume,Name
07-02-2018,30.86,31.33,30.77,30.81,6409343,FE
07-02-2018,139.16,142.46,138.98,141.39,933167,FFIV
07-02-2018,129.78,130.985,128.57,129.17,2376103,FISV
07-02-2018,95.74,98.21,95.48,96.77,3099796,FIS
07-02-2018,31.94,32.79,31.83,32.34,5545899,FITB
07-02-2018,48.12,49.22,48.12,48.4,865531,FLIR
07-02-2018,56.88,57.86,56.88,57.04,1465541,FLR
07-02-2018,41.86,42.42,41.53,41.55,1821225,FLS
07-02-2018,47.7,48.95,47.4,48.01,3217191,FL
07-02-2018,84.87,85.96,83.76,83.97,905383,FMC
07-02-2018,36.84,37.41,35.99,36.06,7492267,FOXA
07-02-2018,36.41,36.96,35.62,35.7,4004218,FOX
07-02-2018,112.2,114.2,111.25,111.34,639700,FRT
07-02-2018,31.56,32.14,30.41,30.48,6863966,FTI
07-02-2018,71.92,73.05,71.68,71.69,2533280,FTV
07-02-2018,10.75,11.04,10.7,10.76,68041787,F
07-02-2018,212.41,218.615,212.01,214.95,1962078,GD
07-02-2018,15.31,15.52,15.25,15.25,76007223,GE
07-02-2018,21.58,22.53,21.58,21.97,5690968,GGP
07-02-2018,79.67,84.58,79.35,82.76,20315603,GILD
07-02-2018,55.47,56.24,54.62,54.65,3503015,GIS
07-02-2018,29.66,30.4,29.6,29.82,11510843,GLW
07-02-2018,41.8,43.56,41.65,42.39,19402866,GM
07-02-2018,1084.97,1086.53,1054.62,1055.41,2597094,GOOGL
07-02-2018,1081.54,1081.78,1048.26,1048.58,2369232,GOOG
07-02-2018,99.96,101.83,99.17,99.27,1025756,GPC
07-02-2018,105.43,108.06,105.43,106.32,770089,GPN
07-02-2018,32.2,33.05,31.84,32.62,3988817,GPS
07-02-2018,63.4,63.85,61.1,63.08,1630082,GRMN
07-02-2018,255.9,261.95,255.66,257.1,4125037,GS
07-02-2018,33.14,33.88,33.01,33.47,4053834,GT
07-02-2018,259.01,262.51,256.66,259.89,1038423,GWW
07-02-2018,50.77,51.41,49.675,49.69,8631553,HAL
07-02-2018,92.5,103.39,92.1,102.22,7270568,HAS
07-02-2018,15.47,15.77,15.45,15.64,14957061,HBAN
07-02-2018,21.74,22.645,21.53,21.96,13326475,HBI
07-02-2018,98.26,100.3,98,98.4,1895121,HCA
07-02-2018,57.11,58.1,56.43,56.55,3239714,HCN
07-02-2018,23.39,23.89,23.24,23.38,5312359,HCP
07-02-2018,190.73,194.515,189.72,191.29,6016847,HD
07-02-2018,45.99,46.83,43.99,44.11,4564766,HES
07-02-2018,54.84,56.57,54.78,55.86,2412088,HIG
07-02-2018,227.67,238.435,227.41,234.82,364670,HII
07-02-2018,80.99,83.28,80.54,82.02,3526731,HLT
07-02-2018,48.3,49.05,48.02,48.48,2263359,HOG
07-02-2018,40.15,40.78,40.14,40.45,2657711,HOLX
07-02-2018,151.39,154.53,151.01,151.19,3171943,HON
07-02-2018,15.67,15.785,15.33,15.56,13112576,HPE
07-02-2018,21.36,21.525,21.0475,21.21,11838988,HPQ
07-02-2018,68.71,70.28,67.03,67.47,2176194,HP
07-02-2018,25.04,25.91,25,25.74,3764506,HRB
07-02-2018,32.71,33.505,32.6,32.74,3304752,HRL
07-02-2018,148.44,153.88,147.37,152.79,1165550,HRS
